MutTable_Hydro_GeneName	pLI	mis_z
EEF1E1	8.26E-02	5.21E-01
HEXB	3.49E-10	6.48E-01
ACSBG2	1.08E-10	2.20E-01
TMPRSS11D	1.20E-05	4.84E-01
B3GALT1	1.02E-02	1.58E+00
WNT10B	3.62E-04	1.05E+00
PAQR3	3.74E-05	5.97E-01
FICD	1.02E-02	3.15E-01
ARL6	1.01E-02	5.55E-01
GLYATL1	3.37E-03	-6.19E-01
CD69	2.97E-02	-2.59E-01
KREMEN2	3.72E-05	1.51E+00
GDF1	4.12E-01	1.69E+00
ZNF484	1.16E-08	1.51E+00
SNX7	3.73E-05	3.69E-01
POLR1E	3.74E-07	7.41E-01
CC2D1B	1.75E-18	-1.01E+00
DUSP1	1.02E-02	1.72E+00
ZCCHC9	1.11E-03	5.67E-01
ARG1	3.59E-04	5.60E-02
CA6	3.60E-04	7.94E-02
PHACTR1	6.35E-01	7.08E-01
IRF3	1.16E-04	1.08E+00
TPPP	2.03E-01	7.60E-01
PLA2G4D	2.63E-14	-4.06E-01
VWA3A	1.68E-25	7.14E-01
GDNF	2.04E-01	1.10E+00
UBASH3A	1.05E-10	3.44E-01
GTF2B	1.15E-04	2.53E+00
FBXL4	1.14E-08	5.55E-01
NLRC4	9.87E-12	9.77E-01
RBAK	1.14E-08	8.83E-02
UEVLD	3.72E-07	7.92E-01
LRRC46	1.10E-03	8.54E-01
SLFN14	3.51E-09	2.43E+00
ICOSLG	3.55E-04	1.13E+00
PDK2	3.71E-06	2.05E+00
SEMA4F	9.15E-13	3.22E-01
ZSCAN29	1.03E-10	6.38E-02
ATP1B4	3.56E-04	2.24E-01
GCNT1	3.33E-03	7.91E-01
MEP1A	9.15E-13	1.28E-01
LDAH	3.55E-04	6.02E-01
PRMT6	3.34E-03	2.76E-01
FASTKD5	3.58E-08	5.57E-01
INVS	5.55E-18	1.07E+00
C19ORF38	1.00E-02	6.64E-01
FMR1NB	8.18E-02	-3.20E-01
KCNA5	1.09E-03	-5.40E-02
IL12B	1.14E-04	5.67E-01
ADCK2	3.65E-07	9.19E-01
TXNDC2	6.34E-01	-6.22E-02
TRIM43	1.00E-02	-1.29E-01
RMI1	3.66E-06	3.49E-01
DUSP5	3.32E-03	6.94E-01
TUBD1	1.15E-06	5.35E-01
CD27	1.00E-02	1.32E-01
RBMXL1	2.93E-02	3.35E-01
TMEM50B	2.94E-02	8.76E-01
TMEM70	2.93E-02	1.29E-01
PNMA8A	3.33E-03	1.22E-02
C11ORF63	2.93E-12	1.11E-01
CATSPERD	7.51E-15	2.27E-01
COL6A5	5.61E-45	2.18E+00
TYROBP	2.02E-01	-3.24E-01
ZNF454	3.64E-06	1.29E+00
ARHGAP22	3.40E-09	5.97E-01
PRKAA2	3.53E-08	1.99E+00
TP53I13	1.12E-04	6.78E-02
TDRD10	1.15E-05	1.01E+00
TM6SF2	3.61E-05	7.81E-01
IGFBP6	2.92E-02	2.31E-01
LRRC32	1.08E-03	8.89E-02
FRZB	1.08E-03	9.49E-01
LIX1L	3.49E-04	1.52E+00
ALDH1L2	1.73E-17	1.37E+00
COL22A1	4.49E-45	-3.67E-01
KNG1	3.21E-10	-1.12E-01
ADAM32	2.16E-15	2.89E-01
ADAM33	2.15E-15	6.88E-01
MTHFR	3.21E-10	8.96E-01
TRMT2A	1.08E-08	-1.32E-01
SLC29A4	1.14E-05	-1.00E+00
ECM2	3.33E-09	6.97E-01
CEP41	3.59E-06	3.47E-01
BLVRA	3.48E-04	3.46E-01
CCZ1	3.59E-06	-1.94E-01
OTUD3	3.56E-05	7.66E-01
PBXIP1	9.79E-11	7.93E-01
THBS4	1.51E-18	1.21E+00
TMEM203	6.34E-01	1.81E+00
NVL	4.26E-19	1.59E+00
RARS2	7.74E-14	-6.50E-02
SLC2A2	3.43E-08	9.36E-01
RIN1	3.51E-07	5.53E-01
CD3E	3.45E-04	3.04E-01
TXN	2.01E-01	1.14E+00
MME	1.47E-18	3.58E-01
KBTBD7	3.57E-06	1.66E+00
KRT9	1.13E-06	1.99E-01
ZNF626	4.09E-01	-6.50E-01
KLHL40	3.54E-06	2.18E-02
VPS51	1.05E-08	2.66E+00
IMPA2	1.06E-03	8.51E-01
CHI3L1	1.11E-05	-5.79E-01
PSMG1	3.42E-04	5.01E-01
ANKMY2	3.52E-06	1.51E-01
BORCS6	2.01E-01	9.03E-01
DIS3L	1.42E-18	9.34E-01
CASP1	3.52E-05	-5.93E-02
GLI1	7.66E-14	1.08E+00
PKLR	3.49E-07	9.81E-01
THOC3	2.87E-02	2.05E+00
TUBGCP6	2.56E-31	-9.44E-01
COL19A1	4.84E-33	3.27E-01
MYOT	3.37E-08	5.53E-01
FLOT1	1.04E-08	2.34E+00
SH3D21	8.79E-12	5.85E-01
USP40	1.15E-25	2.41E-01
EXO1	8.12E-13	-1.03E+00
FAM178B	8.21E-13	1.01E+00
HOOK2	4.65E-18	3.71E-01
YY2	4.08E-01	1.35E+00
CCDC180	1.53E-40	7.79E-01
MED9	4.08E-01	7.94E-01
LVRN	5.30E-17	-8.83E-01
C3ORF67	9.40E-11	3.63E-01
KIF7	2.27E-22	-6.89E-01
ACBD4	1.09E-06	2.98E-01
SYT17	1.10E-05	1.18E+00
SARS2	9.77E-10	2.49E-01
ADAM8	2.20E-14	3.80E-01
LY75	7.45E-46	-1.70E-02
LY75-CD302	7.45E-46	-1.70E-02
KRT80	3.46E-06	-3.34E-01
RNFT1	1.09E-06	6.63E-01
KIAA1328	3.30E-08	6.68E-01
TUSC3	3.46E-06	-4.91E-02
ZNF227	9.25E-11	3.62E-01
HRAS	7.98E-02	1.51E+00
GSG1	1.04E-03	2.24E-01
THBS3	2.58E-21	1.78E+00
FLVCR2	3.43E-06	6.42E-02
TELO2	7.20E-14	-3.67E-01
DNA2	1.27E-18	7.36E-01
CDO1	9.66E-03	1.90E-01
PERP	7.95E-02	4.63E-01
VHL	7.95E-02	-3.95E-01
HMOX1	9.68E-03	-5.20E-01
OAS1	3.45E-05	-4.26E-01
EGFLAM	3.76E-19	3.34E-01
SCD5	1.04E-03	9.17E-01
CALCR	3.12E-09	5.15E-01
TRMT13	1.04E-07	4.10E-01
PDSS1	3.24E-08	1.32E+00
IER3	6.31E-01	1.23E+00
PIH1D1	1.07E-04	6.43E-01
RELT	1.07E-06	-2.75E-01
CNGA1	2.76E-11	4.41E-01
TMEM5	1.07E-06	7.30E-01
PRMT9	2.53E-12	1.28E+00
XIRP2	2.08E-52	-2.40E+00
C9ORF72	1.06E-06	2.44E-01
ADAMTS18	1.07E-29	-3.51E+00
LMAN2	1.07E-04	3.82E-01
LMBRD1	9.03E-11	2.57E-01
CCDC30	1.46E-17	9.06E-01
PDZD11	1.99E-01	1.75E+00
NUP37	1.08E-05	4.70E-01
PDCD4	3.36E-07	2.18E-01
NUBPL	1.07E-05	2.85E-01
CENPW	4.05E-01	7.49E-01
ALPK1	1.02E-19	-2.82E-01
ZNF286A	3.37E-06	7.71E-01
FTCDNL1	4.05E-01	1.23E+00
HRC	9.94E-09	-6.63E-02
LY6G5C	4.05E-01	1.34E+00
CFAP73	3.32E-04	8.73E-01
LAMTOR2	1.98E-01	1.26E+00
SEC61G	6.31E-01	1.26E+00
BCLAF1	2.06E-14	-4.36E+00
TCN2	1.05E-06	-2.12E+00
NT5DC4	9.78E-09	6.16E-01
MTG2	3.31E-04	3.18E-01
ANTXRL	3.15E-08	1.35E+00
LIPC	3.28E-07	-9.19E-01
GPR52	9.54E-03	7.80E-01
XKR3	7.87E-02	1.10E+00
GGCX	2.02E-14	8.82E-01
PTMS	1.98E-01	8.08E-01
DNPEP	3.16E-08	3.67E-01
POLI	3.18E-08	-5.09E-01
SPINK5	4.85E-28	2.78E-01
HFM1	4.73E-32	7.42E-01
TGM1	2.25E-13	-6.02E-02
ZNF232	3.37E-05	2.70E-01
EGLN3	9.48E-03	1.72E+00
POC1A	3.30E-06	1.08E+00
GHRHR	1.01E-07	-4.97E-01
UMPS	1.05E-04	1.14E+00
GLP2R	2.64E-11	1.16E+00
ZNF557	2.80E-02	6.10E-01
CHEK1	3.14E-08	1.78E+00
PRR16	7.86E-02	-8.00E-01
CSPP1	3.26E-29	6.54E-01
CFAP97	1.05E-04	-2.29E-01
KLF13	4.04E-01	2.02E+00
CNDP2	1.01E-07	1.10E-01
HEXIM2	2.80E-02	8.75E-02
CRLS1	3.11E-03	4.72E-01
ACO1	3.83E-18	9.19E-01
CYP7B1	3.30E-06	-3.95E-01
ARHGAP10	1.31E-17	1.94E-01
FAM76A	1.04E-05	1.82E+00
LTA	1.97E-01	1.81E+00
MGST2	7.83E-02	3.73E-01
MARCH11	3.11E-03	1.61E+00
SCARA5	1.04E-05	3.82E-01
P2RX3	1.03E-06	1.27E+00
SLC10A4	2.79E-02	9.97E-01
SYNPO2L	2.75E-10	1.32E+00
SUSD1	2.17E-13	1.03E+00
TAB1	3.22E-07	1.75E+00
ECD	2.34E-12	3.85E-01
POC1B	3.05E-08	-9.28E-02
HS6ST2	1.01E-03	1.40E+00
ITM2A	1.97E-01	1.34E-01
QRICH2	1.08E-28	7.92E-01
TLR2	1.02E-06	4.07E-01
NPNT	2.73E-10	-9.40E-02
LRRC36	7.73E-12	1.15E+00
HLA-F	3.28E-05	1.10E+00
TMEM176A	9.37E-03	7.69E-01
WDR78	4.27E-17	-6.18E-02
RSPH3	9.87E-08	6.74E-02
TPH1	3.19E-07	7.34E-01
ESPN	2.87E-09	-7.87E-02
DOK7	1.03E-04	-2.55E+00
GIPC3	9.34E-03	1.77E-01
ACRBP	2.70E-10	7.34E-01
RHOU	7.78E-02	9.45E-01
AMHR2	2.70E-10	3.94E-01
POMT1	4.23E-17	6.18E-01
DUSP22	9.34E-03	4.51E-01
TAGLN2	9.35E-03	7.11E-01
FMN1	3.59E-18	-1.53E+00
DNAAF5	8.10E-11	2.34E-03
KLHL33	1.02E-05	2.44E-01
MAD2L1	9.30E-03	1.06E+00
RPL29	1.95E-01	3.60E-01
YPEL4	1.96E-01	1.33E+00
RHBDF1	5.41E-15	1.45E+00
PEX19	3.19E-04	-7.76E-01
ATG7	7.38E-12	1.37E+00
HGD	2.96E-08	2.90E-01
ANXA7	8.58E-10	4.02E-01
AOX1	1.17E-31	1.80E-01
OR2T4	1.95E-01	-8.81E-01
APOC2	4.02E-01	3.29E-01
ASL	8.57E-10	7.49E-01
CD200R1L	3.04E-03	-4.14E-01
NPC1L1	2.31E-20	4.09E-01
ANKEF1	8.54E-10	5.06E-01
NNAT	4.01E-01	7.51E-01
ZPR1	8.95E-09	7.26E-01
SEC14L2	2.92E-08	9.89E-01
AK1	2.73E-02	6.49E-01
GALC	5.21E-15	1.86E-01
ABCB10	2.91E-08	1.35E+00
ALDH5A1	3.05E-07	7.34E-01
RTN4IP1	3.14E-06	7.28E-01
ZNF605	4.01E-01	1.23E+00
LUM	7.70E-02	1.65E+00
LRRIQ1	5.52E-37	-1.09E+00
PLOD1	1.48E-15	3.94E-01
ORMDL2	1.94E-01	4.62E-01
PITRM1	5.93E-21	-8.37E-01
ATP1A4	2.14E-20	4.90E-01
PLEKHH2	4.82E-34	-1.72E+00
ESPNL	2.54E-10	4.94E-01
CORO7-PAM16	7.62E-25	-4.04E-01
SAMHD1	6.45E-13	1.55E+00
DUOX1	6.22E-33	8.86E-01
CAND2	4.33E-16	1.34E+00
LRGUK	1.45E-15	-3.27E-01
NADSYN1	1.25E-16	7.10E-01
CCDC106	2.72E-02	1.59E+00
ASB1	2.99E-03	1.27E+00
RSPH4A	7.57E-11	3.19E-01
ATP6V1C2	2.85E-08	8.27E-01
PCDHGA5	2.84E-08	-8.00E-01
FBXL13	2.09E-12	5.48E-01
C9ORF3	4.98E-15	4.61E-01
LIPN	3.10E-05	-9.70E-02
CLEC17A	9.10E-08	8.80E-01
CEP57L1	2.81E-08	-6.24E-03
IGFN1	3.28E-51	2.25E-01
KRTAP4-12	1.93E-01	-1.05E+00
GBA2	1.99E-20	1.67E+00
CTSK	3.10E-05	9.98E-01
PRSS22	2.97E-03	1.02E+00
PHAX	3.04E-06	4.75E-01
TTF1	6.21E-13	1.07E-01
VWA3B	9.74E-28	2.59E-01
PCDHGB4	2.79E-08	3.28E-01
ABHD11	2.96E-03	5.67E-01
CNNM4	2.93E-07	2.37E+00
CYB5R4	2.62E-09	7.39E-01
ARFIP1	3.08E-05	1.08E+00
NAE1	1.80E-13	1.09E+00
H6PD	8.59E-09	-1.13E+00
ABCC10	1.29E-26	6.55E-01
HAND2	3.99E-01	1.18E+00
GALNT12	9.39E-07	1.31E-01
RPS4Y1	6.27E-01	1.12E+00
SLC4A11	4.64E-15	6.02E-01
FCRL4	7.91E-10	-5.77E-01
FAM207A	7.56E-02	-5.26E-02
PRDX4	2.68E-02	1.04E+00
MCOLN3	7.32E-11	6.23E-01
RFC3	9.58E-06	-1.28E-01
TMPRSS2	2.40E-10	3.99E-01
HBEGF	7.56E-02	1.36E+00
WDR87	6.16E-20	4.22E+00
TMEM151A	2.92E-03	2.67E+00
ATP6V0E1	3.98E-01	1.43E-01
PADI3	2.36E-10	1.69E-01
GMPPA	8.36E-09	1.21E+00
EXPH5	4.16E-26	-2.74E-01
POLRMT	1.74E-20	-1.87E+00
APOBEC3C	2.67E-02	-4.56E-01
DUS3L	2.14E-11	1.53E+00
SHC4	7.11E-11	1.23E-01
CIDEC	8.97E-03	-6.69E-01
MPP7	2.17E-11	9.01E-01
P4HA3	7.80E-10	5.27E-01
TOMM20	2.67E-02	1.58E+00
FUCA1	2.70E-08	8.45E-01
TMEM67	2.07E-24	4.93E-01
PLCXD3	8.91E-03	1.35E-01
RSPH6A	2.34E-10	-4.29E-01
UPF3A	9.17E-07	-6.05E-01
UBE2Q2	8.74E-08	6.24E-01
C1ORF50	2.66E-02	-3.00E-01
LIPT2	6.26E-01	-1.20E-01
STMN1	7.52E-02	1.61E+00
OSMR	9.21E-18	1.13E-01
ARFGAP3	7.02E-11	4.68E-01
HLA-DQB1	8.93E-03	1.31E+00
AADAC	2.91E-03	3.64E-01
MYH7B	4.34E-46	-3.41E-01
SLC22A15	2.52E-09	6.76E-01
CNPY2	2.92E-03	6.47E-01
CCDC60	7.71E-10	1.42E-01
BVES	9.34E-06	7.16E-01
KBTBD4	2.91E-06	1.26E+00
TPTE2	1.88E-12	5.09E-02
RCBTB2	2.49E-09	-5.84E-02
SP110	1.46E-14	3.35E-01
ALDH6A1	7.56E-10	1.05E+00
DNAL1	8.88E-03	1.19E+00
PDCD6	8.88E-03	4.54E-01
COL10A1	2.98E-05	-1.15E+00
WRN	2.64E-34	-2.21E-01
STX17	9.46E-05	5.94E-01
TRMT1	1.89E-12	5.61E-01
SDF2	2.64E-02	6.47E-01
CPXM2	5.49E-13	1.70E-01
MCM8	1.05E-16	3.57E-01
MEF2B	9.29E-04	1.29E+00
TNK1	2.64E-08	1.00E+00
POU4F2	7.48E-02	7.89E-02
KRT71	9.01E-07	-4.10E-01
TMEM119	6.25E-01	2.94E-01
ZRANB3	4.23E-21	4.89E-01
ATP13A4	3.33E-26	4.86E-02
AMELX	7.45E-02	9.57E-01
RAB17	7.46E-02	6.99E-02
DSC1	3.50E-16	-9.53E-02
WDR46	5.43E-13	8.61E-01
NT5C1B-RDH14	7.37E-10	2.50E-01
SOAT1	7.36E-10	9.80E-01
ZNF510	8.49E-08	5.57E-01
NAPEPLD	2.94E-05	3.12E-01
NUDT9	9.18E-06	1.03E+00
ZNF729	3.96E-01	-1.59E+00
MASTL	5.44E-13	5.05E-01
IMP4	8.86E-07	3.62E-01
FAM133A	3.96E-01	7.17E-02
PIP5KL1	2.93E-05	7.87E-01
SLC25A44	9.25E-04	1.95E+00
AZIN2	8.87E-07	4.67E-01
SFRP4	9.26E-05	4.59E-02
DPPA4	2.94E-04	3.43E-01
SMIM29	6.24E-01	-4.67E-01
DPH2	9.09E-06	7.59E-01
TGOLN2	2.85E-03	1.34E-01
PIGT	7.30E-10	2.77E-01
CDKN2C	3.95E-01	1.08E+00
NUDT6	2.91E-05	-2.42E-02
TXNRD3	8.34E-08	1.60E+00
LEFTY2	2.93E-04	5.79E-01
CGN	1.89E-31	1.70E-01
SPAG4	2.72E-07	9.83E-01
CCDC142	5.33E-13	7.87E-01
TCAP	1.89E-01	8.56E-02
OSER1	2.86E-03	7.39E-01
ATP6V1B1	2.40E-09	2.32E-01
SDF2L1	1.90E-01	1.39E+00
DDX10	9.46E-17	3.04E-01
C1ORF27	2.71E-07	8.27E-01
NKAPL	9.22E-05	1.01E+00
ANO5	2.85E-22	1.17E-01
CDKN2A	3.95E-01	-1.01E+00
KCTD13	9.15E-04	1.92E+00
KANK1	7.98E-18	-4.81E+00
SYCP3	9.18E-05	5.36E-01
ZNF500	9.08E-06	-1.67E+00
UQCRFS1	1.89E-01	1.83E+00
ZCCHC4	2.16E-10	1.04E-02
ZNF197	5.23E-13	8.53E-01
FAM110D	3.94E-01	1.14E+00
NGLY1	1.51E-13	-7.26E-02
PPM1M	9.06E-04	3.71E-01
CHST10	9.14E-05	9.83E-01
INO80E	8.68E-03	-2.54E-01
CDK14	2.50E-08	1.28E+00
ACADS	2.80E-06	5.84E-01
ARL6IP4	9.08E-04	-8.08E-01
PKN3	6.11E-19	1.30E+00
SGPP2	2.82E-03	7.35E-02
NPM2	9.06E-04	-2.23E-01
ZNF649	7.37E-02	1.41E+00
AHI1	1.08E-25	-3.46E-02
TMEM8B	2.80E-06	1.91E+00
MROH2B	5.32E-38	-7.90E-01
ACSS3	5.05E-13	1.46E-01
FKBP1B	3.94E-01	1.21E+00
GNMT	2.82E-03	3.54E-01
INSRR	5.40E-24	8.01E-01
GEN1	3.73E-15	9.99E-02
COQ5	2.84E-05	-3.63E-01
CCDC43	2.88E-04	3.00E-01
RHD	2.85E-05	-3.26E-01
RAPGEF3	7.07E-23	8.67E-01
AOAH	4.38E-14	3.21E-01
SMPX	6.23E-01	-4.17E-02
TNFSF15	2.82E-03	5.40E-01
SOX1	6.23E-01	5.78E-01
ITFG2	2.48E-08	8.01E-01
AGTRAP	1.88E-01	4.50E-01
TRIM29	8.12E-08	3.05E-01
SCUBE2	3.56E-21	9.77E-01
OCLN	8.56E-07	3.22E-01
B9D1	2.80E-03	1.02E-01
DDAH1	2.80E-03	1.49E+00
SIVA1	2.57E-02	6.76E-03
TMEM241	8.47E-07	2.42E-01
A2ML1	1.61E-34	3.27E-01
HOXD13	8.61E-03	4.20E-02
RAB2B	2.80E-03	9.65E-01
ZP3	2.85E-04	-1.64E-02
LRRC63	2.83E-05	9.61E-01
ZNF568	2.28E-09	1.47E+00
SMIM11A	6.23E-01	1.19E-01
RSU1	8.91E-04	4.57E-01
CHCHD4	1.87E-01	8.80E-01
MYOM1	1.73E-40	6.18E-01
TFB2M	8.77E-06	-1.23E-01
FER1L6	7.13E-43	7.25E-01
RNF207	5.47E-12	4.54E-01
PRR11	8.42E-07	9.17E-01
RASAL1	1.21E-14	7.57E-01
SHISA2	7.31E-02	7.02E-02
STAC2	8.41E-07	-9.99E-02
IGHMBP2	3.02E-16	1.76E-01
TEX14	9.14E-36	-4.06E-01
PGPEP1	8.50E-03	3.54E-01
DHRS13	2.56E-02	5.54E-01
METTL4	7.83E-08	3.92E-01
CDK9	8.89E-05	2.14E+00
UBTD2	1.87E-01	9.96E-01
VGLL4	7.28E-02	2.66E-01
KLK8	8.85E-05	8.54E-01
CHRNB3	8.59E-06	8.41E-01
PSMB9	2.75E-03	9.34E-01
PLEKHA8	2.18E-09	9.37E-01
PAPSS2	1.97E-10	4.61E-01
EFCAB14	7.78E-08	3.94E-01
GALT	8.82E-05	9.59E-01
CYP11B1	8.25E-07	-1.56E+00
GNPDA2	8.48E-03	1.09E+00
SLC9A9	5.33E-12	-2.47E-01
F2R	8.47E-03	1.19E+00
ARMCX1	7.27E-02	1.83E+00
NAA16	1.81E-18	7.15E-02
SLC26A3	1.37E-13	4.04E-01
ECHS1	8.77E-04	8.63E-01
NIFK	2.78E-04	-5.67E-01
RPGRIP1L	4.08E-31	-1.08E-01
C15ORF40	1.86E-01	-6.25E-01
PLCH2	1.81E-18	1.23E+00
TMCC3	2.74E-05	9.23E-01
RGS22	1.64E-30	4.08E-01
BEX3	6.21E-01	9.95E-01
SLC25A17	2.75E-05	5.38E-01
SDC1	8.41E-03	-3.90E-02
ACP7	2.14E-09	3.22E-01
TTC24	2.31E-08	9.32E-01
ZNRF2	7.23E-02	1.07E+00
SIRT2	2.33E-08	7.00E-01
ZUFSP	2.12E-09	8.12E-02
CASC1	3.89E-14	8.26E-01
C21ORF91	8.70E-04	3.54E-01
IBA57	8.39E-03	-5.72E-01
BPIFB1	2.32E-08	6.30E-01
STX18	2.49E-07	6.98E-01
CDC42EP3	1.86E-01	-5.58E-02
HTR3B	2.48E-07	2.52E-02
MOGS	5.81E-11	6.62E-01
PFKFB4	2.14E-09	1.36E+00
EMCN	8.64E-05	-5.51E-01
PGM2	5.04E-12	3.76E-01
ZNF540	3.90E-01	6.59E-01
ZNF546	5.02E-12	2.82E-01
RCC1L	8.68E-04	8.26E-01
FBLN7	8.42E-06	1.15E+00
NLRP13	9.03E-16	-1.57E+00
CTH	7.48E-08	4.12E-01
SLC7A7	7.95E-07	4.85E-01
DBNDD2	8.31E-03	8.87E-01
GIPC1	8.31E-03	5.42E-01
DGCR14	2.44E-07	2.69E-01
C19ORF67	2.74E-04	1.75E+00
SH2D1A	3.89E-01	1.69E+00
REN	2.43E-07	7.97E-01
ZBED8	2.66E-05	7.03E-02
CNGA4	2.42E-07	1.16E-02
ZNF431	2.50E-02	1.87E-01
PPP2R3C	6.82E-09	1.35E+00
ANO2	1.71E-22	-1.34E-02
ASZ1	6.67E-09	1.63E-01
PARP15	6.74E-09	6.31E-01
VPS33B	2.41E-16	3.64E-01
CTDSPL	2.67E-03	2.08E+00
DDX11	2.35E-21	-2.21E-01
LRRC24	8.51E-04	-6.78E-01
RASL10A	1.84E-01	1.68E+00
RNASET2	2.69E-04	2.43E-01
TMEM56-RWDD3	8.23E-03	1.06E+00
CEP126	5.22E-18	5.57E-01
LINS1	2.37E-07	-6.84E-01
MYO1H	2.06E-25	6.52E-01
C11ORF80	2.01E-09	8.27E-01
ZSCAN5A	8.19E-03	-2.46E-01
DIRAS1	3.88E-01	2.07E+00
SETD9	8.39E-05	4.79E-01
SEC16B	2.09E-25	3.52E-01
CCDC114	6.63E-09	4.80E-01
LAMP3	2.67E-04	2.84E-01
OAT	7.72E-07	8.76E-01
BBS12	2.34E-07	3.36E-01
PPP1R3C	2.64E-03	1.07E-01
ALOX5AP	7.07E-02	1.04E+00
NT5C1A	8.34E-05	8.66E-01
SYS1	7.09E-02	6.61E-01
HAUS6	6.42E-17	-2.18E+00
BLOC1S1	7.08E-02	-3.39E-02
NPIPB4	1.83E-01	-4.46E-01
YBX3	8.06E-06	1.12E-01
FNDC7	1.56E-11	7.67E-01
SLC35B4	2.61E-05	1.20E+00
ZNF33A	1.97E-09	-3.76E-01
GZMK	8.15E-03	3.18E-01
CDH17	3.42E-14	3.51E-01
AFG1L	6.44E-09	8.05E-01
EDN3	2.46E-02	-9.39E-01
RPL37	1.83E-01	5.28E-01
BSG	2.59E-05	-1.43E-01
CERS5	6.50E-09	1.19E+00
CR1	1.65E-35	-4.74E-01
AUH	8.02E-06	3.42E-01
MYBPC2	3.83E-23	6.74E-01
PCSK4	1.34E-12	-3.60E-02
SPATA24	2.62E-03	1.21E+00
SLC35E2B	2.63E-03	9.94E-01
ZNF75D	2.65E-04	3.81E-01
ST6GALNAC3	2.64E-04	4.49E-01
FOXQ1	6.18E-01	8.09E-01
LRRCC1	7.23E-21	1.09E-01
PLPP2	8.31E-04	4.92E-01
PPEF2	9.37E-15	4.42E-02
SFTA3	3.87E-01	5.67E-01
ZCWPW1	1.12E-13	1.13E+00
DUS1L	5.73E-10	8.55E-01
COG5	9.77E-20	-4.83E-01
KRT35	2.44E-06	-4.69E-01
SLC27A2	6.36E-09	-1.91E-01
PYGL	1.71E-17	-2.03E-01
COLEC10	2.62E-03	2.81E-02
CAPN3	3.59E-19	-3.30E-02
SLC35F2	2.63E-04	4.23E-01
MANBA	1.31E-18	4.96E-02
CD99	2.61E-03	-5.29E-01
PASK	1.95E-21	-4.30E-02
PITHD1	8.09E-03	1.23E+00
SYCE1	7.02E-08	6.63E-01
CDHR4	3.77E-13	2.18E+00
CC2D2B	6.91E-08	1.29E+00
CPN2	2.60E-03	2.93E-01
MTBP	3.51E-19	7.76E-01
PYROXD1	6.30E-09	9.69E-02
SC5D	2.59E-03	7.21E-01
RFTN1	2.42E-06	3.95E-01
ASPSCR1	4.42E-12	-1.84E-03
TBC1D5	4.64E-18	6.87E-01
HMOX2	2.62E-04	1.13E-01
JMJD7	8.16E-05	-9.21E-01
PPCS	8.04E-03	8.02E-01
STARD10	8.17E-05	1.34E+00
TRMT61A	2.44E-02	1.28E+00
PDP2	8.18E-05	1.30E+00
SIGLEC9	2.53E-05	6.12E-01
TMPRSS9	1.62E-17	-1.22E+00
SLC6A5	8.98E-15	-9.41E-02
GLB1L	3.69E-13	-2.01E-01
AIMP2	8.02E-03	-8.49E-01
STEAP2	2.25E-07	7.53E-01
CCDC18	1.96E-37	1.61E+00
CCDC158	1.55E-25	-2.29E-01
PANK2	7.40E-07	1.79E-01
SPARCL1	5.64E-10	6.39E-02
MAN2B1	4.79E-22	1.15E+00
FAM212B	7.99E-03	3.45E-01
H1FOO	6.96E-02	3.67E-01
GUCY2F	1.06E-13	-2.05E-01
THADA	4.62E-41	-2.96E+00
CXCR3	1.81E-01	1.74E+00
MMRN2	4.89E-11	1.05E+00
SEPT1	6.77E-08	1.57E+00
ABCA10	7.66E-34	-5.55E-02
MTRF1	1.62E-10	5.96E-01
TNFAIP8	3.85E-01	4.45E-01
KIF12	4.16E-12	6.56E-01
ZNF263	5.46E-10	-3.22E-02
NPM3	6.95E-02	-3.46E-01
MAD1L1	6.84E-16	2.52E-02
AOC1	6.72E-08	7.58E-01
MRGPRF	2.41E-02	6.47E-01
ZFAND2B	2.48E-05	3.42E-01
TM4SF5	7.92E-03	7.95E-01
RAD54L	2.36E-15	-2.52E-01
NEPRO	2.01E-08	-8.95E-02
DLX3	2.55E-03	9.57E-01
C17ORF49	6.93E-02	5.35E-01
CD96	1.39E-11	-4.67E-01
ZNF607	2.35E-06	-2.07E-01
LRP2BP	2.35E-06	4.89E-01
HLA-DQA1	2.39E-02	1.63E+00
ELMO3	6.69E-16	1.62E-01
CORO6	7.16E-07	4.49E-01
KIF19	1.47E-17	1.43E-02
PI4K2B	2.19E-07	1.24E+00
F10	2.35E-06	1.20E+00
ZNF569	6.60E-08	1.23E+00
MUC6	2.21E-39	9.14E-01
ASB6	8.05E-04	1.05E+00
CA5A	7.91E-05	-1.20E+00
CABP2	2.54E-03	2.94E-02
SCML4	7.59E-06	6.83E-01
SLCO1C1	3.99E-12	-4.77E-01
SMYD1	2.14E-07	-2.50E-01
ITGBL1	1.77E-09	5.82E-01
CENPJ	2.06E-27	2.16E-01
GBE1	1.15E-12	9.19E-02
NKPD1	7.04E-07	2.24E+00
MRS2	1.95E-08	7.03E-01
PLVAP	2.30E-06	5.49E-01
XPA	7.87E-05	3.46E-01
PFKM	3.76E-18	2.36E+00
RABL3	8.02E-04	4.33E-01
EHHADH	5.24E-10	-2.59E-02
BIN2	4.53E-11	1.06E+00
ZNF599	2.13E-07	-1.28E-01
CCDC14	7.80E-15	7.82E-01
NEDD8-MDP1	2.50E-03	8.87E-01
CHST7	6.87E-02	1.94E+00
CNNM3	2.12E-07	7.56E-01
CARD16	3.83E-01	-4.71E-01
TTC39B	2.18E-15	-1.30E+00
UACA	3.25E-29	4.71E-01
